MARKER	LAYER	RATING	REASON	SIZE_B	SOURCE_PATH
ATO_MYCEL_METAPHOR 2.yaml	ATO	1	10 pos	840	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_MYCEL_METAPHOR 2.yaml
ATO_MYCEL_METAPHOR.yaml	ATO	1	10 pos	840	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_MYCEL_METAPHOR.yaml
ATO_NEED_TERM 2.yaml	ATO	1	10 pos	725	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_NEED_TERM 2.yaml
ATO_NEED_TERM.yaml	ATO	1	10 pos	725	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_NEED_TERM.yaml
ATO_NEGATIVE_JUDGEMENT.yaml	ATO	1	10 pos, desc	1246	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_NEGATIVE_JUDGEMENT.yaml
ATO_NONVERBAL_JOY_VERB.yaml	ATO	1	32 pos	1846	LD3.4_ALL_Marker_5.1/ALL_Marker_5.1/ATO_atomic/ATO_NONVERBAL_JOY_VERB.yaml
ATO_OCD_REPETITIVE_LANGUAGE.yaml	ATO	1	5 pos, 5 neg, desc	784	ATO_OCD_REPETITIVE_LANGUAGE.yaml
ATO_ORGANISATION_ENTITY.yaml	ATO	1	16 pos	1275	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_ORGANISATION_ENTITY.yaml
ATO_OVERLAP_INTERRUPT.yaml	ATO	1	8 pos, desc	887	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_5.1_19.09.BACKUP/ATO_OVERLAP_INTERRUPT.yaml
ATO_PACING.yaml	ATO	1	11 pos	701	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_PACING.yaml
ATO_PARENTIFICATION.yaml	ATO	1	5 pos	759	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_PARENTIFICATION.yaml
ATO_PARKINSON_BRADYPHRENIA.yaml	ATO	1	5 pos, 5 neg, desc	641	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/LD3.4_THERA/ATO/ATO_PARKINSON_BRADYPHRENIA.yaml
ATO_PASSIVE_AGGRESSION 2.yaml	ATO	1	5 pos, desc	548	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_5.1_19.09.BACKUP/Marker_5.0/ATO_PASSIVE_AGGRESSION 2.yaml
ATO_PASSIVE_AGGRESSION.yaml	ATO	1	5 pos, desc	548	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_PASSIVE_AGGRESSION.yaml
ATO_PATTERN_RECOGNITION.yaml	ATO	1	7 pos	792	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_PATTERN_RECOGNITION.yaml
ATO_PAUSE_LONG 2.yaml	ATO	1	5 pos, desc	515	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_5.1_19.09.BACKUP/Marker_5.0/ATO_PAUSE_LONG 2.yaml
ATO_PAUSE_MICRO 2.yaml	ATO	1	5 pos, desc	533	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_5.1_19.09.BACKUP/Marker_5.0/ATO_PAUSE_MICRO 2.yaml
ATO_PAUSE_MICRO.yaml	ATO	1	10 pos, desc	756	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_PAUSE_MICRO.yaml
ATO_PERFORMATIVE_VULNERABILITY.yaml	ATO	1	7 pos	855	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_PERFORMATIVE_VULNERABILITY.yaml
ATO_PERSONAL 2.yaml	ATO	1	5 pos, desc	541	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_5.1_19.09.BACKUP/Marker_5.0/ATO_PERSONAL 2.yaml
ATO_PERSONAL.yaml	ATO	1	5 pos, desc	541	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_PERSONAL.yaml
ATO_PERSONAL_INTEREST_SHARE.yaml	ATO	1	5 pos, desc, composed	699	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_PERSONAL_INTEREST_SHARE.yaml
ATO_PERSONAL_SECRET.yaml	ATO	1	5 pos	790	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_PERSONAL_SECRET.yaml
ATO_PERSONAL_SECRET_MARKER.yaml	ATO	1	13 pos	1225	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_PERSONAL_SECRET_MARKER.yaml
ATO_PERSONA_TERM 2.yaml	ATO	1	10 pos	678	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_PERSONA_TERM 2.yaml
ATO_PERSONA_TERM.yaml	ATO	1	10 pos	678	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_PERSONA_TERM.yaml
ATO_PITCH_SPREAD_NARROW 2.yaml	ATO	1	5 pos, desc	514	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_5.1_19.09.BACKUP/Marker_5.0/ATO_PITCH_SPREAD_NARROW 2.yaml
ATO_PITCH_SPREAD_NARROW.yaml	ATO	1	10 examples, 583B	583	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_PITCH_SPREAD_NARROW.yaml
ATO_PITCH_SPREAD_WIDE 2.yaml	ATO	1	5 pos, desc	513	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_5.1_19.09.BACKUP/Marker_5.0/ATO_PITCH_SPREAD_WIDE 2.yaml
ATO_PITCH_SPREAD_WIDE.yaml	ATO	1	10 examples, 657B	657	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_PITCH_SPREAD_WIDE.yaml
ATO_PITY_APPEAL.yaml	ATO	1	11 pos	767	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_PITY_APPEAL.yaml
ATO_PLATFORM 2.yaml	ATO	1	5 pos, desc	529	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_5.1_19.09.BACKUP/Marker_5.0/ATO_PLATFORM 2.yaml
ATO_PLATFORM.yaml	ATO	1	5 pos, desc	529	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_PLATFORM.yaml
ATO_PLATONIC_BOUNDARY_MARKER.yaml	ATO	1	6 pos	863	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_PLATONIC_BOUNDARY_MARKER.yaml
ATO_POSITIVE_CAREGIVER_MARKER.yaml	ATO	1	7 pos	683	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_POSITIVE_CAREGIVER_MARKER.yaml
ATO_POSITIVE_OUTLOOK_CUE.yaml	ATO	1	34 pos	2206	LD3.4_ALL_Marker_5.1/ALL_Marker_5.1/ATO_atomic/ATO_POSITIVE_OUTLOOK_CUE.yaml
ATO_POSITIVE_PREFERENCE.yaml	ATO	1	33 pos	1897	LD3.4_ALL_Marker_5.1/ALL_Marker_5.1/ATO_atomic/ATO_POSITIVE_PREFERENCE.yaml
ATO_POSITIVE_REGARD.yaml	ATO	1	20 pos, 20 neg, desc	1484	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_POSITIVE_REGARD.yaml
ATO_POSITIVE_RESONANCE.yaml	ATO	1	10 pos	730	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_POSITIVE_RESONANCE.yaml
ATO_PRICING_MODEL.yaml	ATO	1	5 pos	541	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_5.1_19.09.BACKUP/ATO_PRICING_MODEL.yaml
ATO_PRIDE_CONFIDENCE.yaml	ATO	1	50 pos, desc	3207	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/ALL_Marker_5.1/EMOTIONAL_SEMANTICS_BASIC/ATO_atomic/ATO_PRIDE_CONFIDENCE.yaml
ATO_PRIDE_STATE.yaml	ATO	1	10 pos	825	LD3.4_ALL_Marker_5.1/ALL_Marker_5.1/ATO_atomic/ATO_PRIDE_STATE.yaml
ATO_PROACTIVE_INTENTION.yaml	ATO	1	34 pos	1979	LD3.4_ALL_Marker_5.1/ALL_Marker_5.1/ATO_atomic/ATO_PROACTIVE_INTENTION.yaml
ATO_PROBLEM_EXTERNALIZATION.yaml	ATO	1	34 pos	2004	LD3.4_ALL_Marker_5.1/ALL_Marker_5.1/ATO_atomic/ATO_PROBLEM_EXTERNALIZATION.yaml
ATO_PROBLEM_SOLVING.yaml	ATO	1	34 pos	2064	LD3.4_ALL_Marker_5.1/ALL_Marker_5.1/ATO_atomic/ATO_PROBLEM_SOLVING.yaml
ATO_PROJECTION 2.yaml	ATO	1	5 pos, desc	602	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_5.1_19.09.BACKUP/Marker_5.0/ATO_PROJECTION 2.yaml
ATO_PROJECTION.yaml	ATO	1	5 pos, desc	602	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_PROJECTION.yaml
ATO_PROJECTION_2P_TRAIT.yaml	ATO	1	8 pos, desc	985	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_PROJECTION_2P_TRAIT.yaml
ATO_PROJECTION_LANGUAGE 2.yaml	ATO	1	5 pos, desc	539	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_5.1_19.09.BACKUP/Marker_5.0/ATO_PROJECTION_LANGUAGE 2.yaml
ATO_PROJECTION_LANGUAGE.yaml	ATO	1	5 pos, desc	539	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_PROJECTION_LANGUAGE.yaml
ATO_PROOF_SEEKING_BEHAVIOR.yaml	ATO	1	5 pos	716	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_PROOF_SEEKING_BEHAVIOR.yaml
ATO_PROTOCOL_LANG.yaml	ATO	1	30 pos, 30 neg, desc	2143	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_PROTOCOL_LANG.yaml
ATO_PTSD_AVOIDANCE_LANGUAGE.yaml	ATO	1	5 pos, 5 neg, desc	872	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/LD3.4_THERA/ATO/ATO_PTSD_AVOIDANCE_LANGUAGE.yaml
ATO_PUTDOWN_TEMPLATE.yaml	ATO	1	5 pos	565	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_PUTDOWN_TEMPLATE.yaml
ATO_QA_JOKE_TEMPLATE.yaml	ATO	1	5 pos	564	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_QA_JOKE_TEMPLATE.yaml
ATO_RATIONALIZATION_LEX.yaml	ATO	1	8 pos, desc	1181	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_RATIONALIZATION_LEX.yaml
ATO_REASSURANCE_SEEKING.yaml	ATO	1	10 pos	696	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_REASSURANCE_SEEKING.yaml
ATO_RECOGNITION_SEEKING.yaml	ATO	1	10 pos	761	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_RECOGNITION_SEEKING.yaml
ATO_RECURSIVE_HELPLESSNESS.yaml	ATO	1	10 pos	3326	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3 (2).5_SSoTh/Marker_LD3.5_SSoTh/Markers_canonical.json/ATO_RECURSIVE_HELPLESSNESS.yaml
ATO_REGISTER_FORMAL.yaml	ATO	1	5 pos	513	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_REGISTER_FORMAL.yaml
ATO_REGULATION_VERB_POSITIVE.yaml	ATO	1	10 pos	996	LD3.4_ALL_Marker_5.1/ALL_Marker_5.1/ATO_atomic/ATO_REGULATION_VERB_POSITIVE.yaml
ATO_RELATION_TERM 2.yaml	ATO	1	10 pos	668	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_RELATION_TERM 2.yaml
ATO_RELATION_TERM.yaml	ATO	1	10 pos	668	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_RELATION_TERM.yaml
ATO_REPAIR_ABSENT.yaml	ATO	1	26 pos, 30 neg, desc	2949	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_REPAIR_ABSENT.yaml
ATO_REPAIR_REQUEST.yaml	ATO	1	20 pos, 20 neg, desc	1518	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_REPAIR_REQUEST.yaml
ATO_REQUEST_FOR_FEEDBACK.yaml	ATO	1	5 pos	507	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_REQUEST_FOR_FEEDBACK.yaml
ATO_REQUEST_TRANSPARENCY.yaml	ATO	1	7 pos	813	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_REQUEST_TRANSPARENCY.yaml
ATO_RESIGNATION_METAPHOR.yaml	ATO	1	20 pos, 20 neg	2073	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_RESIGNATION_METAPHOR.yaml
ATO_RESPONSIBILITY_CLAIM.yaml	ATO	1	10 pos	790	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_RESPONSIBILITY_CLAIM.yaml
ATO_REWARD_RESPONSE.yaml	ATO	1	34 pos	2313	LD3.4_ALL_Marker_5.1/ALL_Marker_5.1/ATO_atomic/ATO_REWARD_RESPONSE.yaml
ATO_RIDDLE_PATTERN.yaml	ATO	1	5 pos	570	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_RIDDLE_PATTERN.yaml
ATO_RISING_INTONATION 2.yaml	ATO	1	5 pos, desc	545	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_5.1_19.09.BACKUP/Marker_5.0/ATO_RISING_INTONATION 2.yaml
ATO_RISK_AVERSION_PHRASE.yaml	ATO	1	10 pos	788	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_RISK_AVERSION_PHRASE.yaml
ATO_RITUAL_TIME 2.yaml	ATO	1	10 pos	757	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_RITUAL_TIME 2.yaml
ATO_RITUAL_TIME.yaml	ATO	1	10 pos	757	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_RITUAL_TIME.yaml
ATO_RIVALRY_MENTION_MARKER.yaml	ATO	1	12 pos	1021	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_RIVALRY_MENTION_MARKER.yaml
ATO_ROLE_CHILD 2.yaml	ATO	1	5 pos, desc	1026	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_5.1_19.09.BACKUP/Marker_5.0/ATO_ROLE_CHILD 2.yaml
ATO_ROLE_CHILD.yaml	ATO	1	5 pos, desc	1026	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_ROLE_CHILD.yaml
ATO_ROLE_FATHER 2.yaml	ATO	1	5 pos, desc	928	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_5.1_19.09.BACKUP/Marker_5.0/ATO_ROLE_FATHER 2.yaml
ATO_ROLE_FATHER.yaml	ATO	1	5 pos, desc	928	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_ROLE_FATHER.yaml
ATO_ROLE_MOTHER 2.yaml	ATO	1	5 pos, desc	962	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_5.1_19.09.BACKUP/Marker_5.0/ATO_ROLE_MOTHER 2.yaml
ATO_ROLE_MOTHER.yaml	ATO	1	5 pos, desc	962	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_ROLE_MOTHER.yaml
ATO_ROLE_SIBLINGS 2.yaml	ATO	1	5 pos, desc	1123	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_5.1_19.09.BACKUP/Marker_5.0/ATO_ROLE_SIBLINGS 2.yaml
ATO_ROLE_SIBLINGS.yaml	ATO	1	5 pos, desc	1123	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_ROLE_SIBLINGS.yaml
ATO_ROMANTIC_SIGNAL_DIRECT.yaml	ATO	1	20 pos, 20 neg, desc	1417	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_ROMANTIC_SIGNAL_DIRECT.yaml
ATO_ROUTINE_GREETING.yaml	ATO	1	10 pos	637	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_ROUTINE_GREETING.yaml
ATO_SACRED_LEXEME 2.yaml	ATO	1	10 pos	878	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_SACRED_LEXEME 2.yaml
ATO_SACRED_LEXEME.yaml	ATO	1	10 pos	878	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_SACRED_LEXEME.yaml
ATO_SADNESS_GRIEF.yaml	ATO	1	50 pos, desc	3269	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/ALL_Marker_5.1/EMOTIONAL_SEMANTICS_BASIC/ATO_atomic/ATO_SADNESS_GRIEF.yaml
ATO_SAFETY_AFFECT 2.yaml	ATO	1	10 pos	754	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_SAFETY_AFFECT 2.yaml
ATO_SAFETY_AFFECT.yaml	ATO	1	10 pos	754	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_SAFETY_AFFECT.yaml
ATO_SARCASAM_CUE.yaml	ATO	1	5 pos	570	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_SARCASAM_CUE.yaml
ATO_SARCASM 2.yaml	ATO	1	5 pos, desc	559	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_5.1_19.09.BACKUP/Marker_5.0/ATO_SARCASM 2.yaml
ATO_SATISFACTION_STATE.yaml	ATO	1	34 pos	2136	LD3.4_ALL_Marker_5.1/ALL_Marker_5.1/ATO_atomic/ATO_SATISFACTION_STATE.yaml
ATO_SCHIZOPHRENIA_DISORGANIZED_SPEECH.yaml	ATO	1	5 pos, 5 neg, desc	893	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/LD3.4_THERA/ATO/ATO_SCHIZOPHRENIA_DISORGANIZED_SPEECH.yaml
ATO_SELF_ADDRESS_VERB 2.yaml	ATO	1	10 pos	736	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_SELF_ADDRESS_VERB 2.yaml
ATO_SELF_ADDRESS_VERB.yaml	ATO	1	10 pos	736	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_SELF_ADDRESS_VERB.yaml
ATO_SELF_DEPRECATION.yaml	ATO	1	8 pos, desc	1096	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_SELF_DEPRECATION.yaml
ATO_SELF_EFFICACY_ASSERTION.yaml	ATO	1	20 pos, 20 neg	2257	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_SELF_EFFICACY_ASSERTION.yaml
ATO_SELF_HANDICAPPING.yaml	ATO	1	11 pos	829	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_SELF_HANDICAPPING.yaml
ATO_SELF_PITY.yaml	ATO	1	10 pos, desc, composed	1813	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_SELF_PITY.yaml
ATO_SELF_REFLECTION 2.yaml	ATO	1	5 pos, desc	572	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_5.1_19.09.BACKUP/Marker_5.0/ATO_SELF_REFLECTION 2.yaml
ATO_SELF_REFLECTION.yaml	ATO	1	5 pos, desc	572	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_SELF_REFLECTION.yaml
ATO_SELF_SUPPORT_PHRASE.yaml	ATO	1	34 pos	1843	LD3.4_ALL_Marker_5.1/ALL_Marker_5.1/ATO_atomic/ATO_SELF_SUPPORT_PHRASE.yaml
ATO_SHAME.yaml	ATO	1	10 pos	789	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_SHAME.yaml
ATO_SHAME_GUILT.yaml	ATO	1	50 pos, desc	3080	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/ALL_Marker_5.1/EMOTIONAL_SEMANTICS_BASIC/ATO_atomic/ATO_SHAME_GUILT.yaml
ATO_SHARED_CONTEXT.yaml	ATO	1	12 pos	808	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_SHARED_CONTEXT.yaml
ATO_SHOULD_MORE_OFTEN.yaml	ATO	1	5 pos	617	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_SHOULD_MORE_OFTEN.yaml
ATO_SHUTDOWN_PHYSIOLOGY.yaml	ATO	1	20 pos, 20 neg	2010	MAIN_LeanDeep3.5_ALL_Marker_6.0/MARKER_COLLECTION_LD3.5 Kopie/Marker_LD3.5_SSoTh/Markers_original.yaml/ATO_SHUTDOWN_PHYSIOLOGY.yaml
ATO_SHUTDOWN_SYMPTOM.yaml	ATO	1	34 pos	1955	LD3.4_ALL_Marker_5.1/ALL_Marker_5.1/ATO_atomic/ATO_SHUTDOWN_SYMPTOM.yaml
